15;2074;  SABIAN 21860XH AAX 18" EL SABOR PICAN CR ;529;413;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/2/1/21860xh-18-inch-aax-el-sabor-picante-hand-crash_full.png;2017-10-08 09:34:28;2017-10-26 10:25:04;gh_music;https://www.ghmusic.com.au/sabian-21860xh-aax-18-el-sabor-pican-cr.html;0
16;2132;  SABIAN 21816X AAX 18" CHINA ;529;413;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/1/8/18-inch-aax-chinese_full.png;2017-10-08 09:34:28;2017-10-26 10:25:04;gh_music;https://www.ghmusic.com.au/sabian-21816x-aax-18-china.html;0
17;2060;  SABIAN 218XAC AAX 18" AERO CRASH ;529;413;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/1/8/18-inch-aax-aero-crash_full.png;2017-10-08 09:34:28;2017-10-26 10:25:04;gh_music;https://www.ghmusic.com.au/sabian-218xac-aax-18-aero-crash.html;0
18;3628;  SABIAN 218XACB AAX 18" AERO CRASH BR ;529;413;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/1/8/18-inch-aax-aero-crash_full_1.png;2017-10-08 09:34:28;2017-10-26 10:25:04;gh_music;https://www.ghmusic.com.au/sabian-218xacb-aax-18-aero-crash-br.html;0
19;2135;  SABIAN 21786X AAX 17" XTREME CHINA ;499;389;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/2/1/21786x-17-inch-aax-x-treme-chinese_full.png;2017-10-08 09:34:28;2017-10-26 10:25:04;gh_music;https://www.ghmusic.com.au/sabian-21786x-aax-17-xtreme-china.html;0
20;2090;  SABIAN 21785XB AAX 17" XPLOSION FAST CR ;489;381;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/2/1/21687xb-16-inch-aax-x-plosion-crash_full_1.png;2017-10-08 09:34:29;2017-10-26 10:25:05;gh_music;https://www.ghmusic.com.au/sabian-21785xb-aax-17-xplosion-fast-cr.html;0
21;2083;  SABIAN 21787XB AAX 17" XPLOSION CRASH BR ;489;381;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/2/1/21787xb-17-inch-aax-x-plosion-crash_full.png;2017-10-08 09:34:29;2017-10-26 10:25:05;gh_music;https://www.ghmusic.com.au/sabian-21787xb-aax-17-xplosion-crash-br.html;0
22;2096;  SABIAN 21706XBV AAX 17" V-CRASH ;479;374;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/v/1/v1706b-17-inch-vault-v-crash_full.png;2017-10-08 09:34:29;2017-10-26 10:25:05;gh_music;https://www.ghmusic.com.au/sabian-21706xbv-aax-17-v-crash.html;0
23;2065;  SABIAN 21706X AAX 17" STUDIO CRASH ;489;381;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/2/1/21706x-17-inch-aax-studio-crash_full.png;2017-10-08 09:34:29;2017-10-26 10:25:05;gh_music;https://www.ghmusic.com.au/sabian-21706x-aax-17-studio-crash.html;0
24;3669;  SABIAN 21708XB AAX 17" STAGE CRASH BR ;489;381;0;\N;https://www.ghmusic.com.au/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/l/g/lg_sabian17c.png;2017-10-08 09:34:29;2017-10-26 11:46:50;gh_music;https://www.ghmusic.com.au/sabian-21708xb-aax-17-stage-crash-br.html;0
