brand;code;series;model;kind;size;description
paiste;CY0000882816;Alpha;Rock Crash;crash;16;Very bright, full, glassy, and shimmering. Wide range, clear mix. Fairly giving feel. Very strong, cutting, and sturdy crash cymbal for louder playingin the heavier music genres. Standard rock type crash cymbal.
paiste;CY0000882817;Alpha;Rock Crash;crash;17;Very bright, full, glassy, and shimmering. Wide range, clear mix. Fairly giving feel. Very strong, cutting, and sturdy crash cymbal for louder playingin the heavier music genres. Standard rock type crash cymbal.
paiste;CY0000882818;Alpha;Rock Crash;crash;18;Very bright, full, glassy, and shimmering. Wide range, clear mix. Fairly giving feel. Very strong, cutting, and sturdy crash cymbal for louder playingin the heavier music genres. Standard rock type crash cymbal.
paiste;CY0000882820;Alpha;Rock Crash;crash;20;Very bright, full, glassy, and shimmering. Wide range, clear mix. Fairly giving feel. Very strong, cutting, and sturdy crash cymbal for louder playingin the heavier music genres. Standard rock type crash cymbal.
paiste;CY0000882917;Alpha;Metal Crash;crash;17;Very powerful, metallic, icy shimmery with a trashy, dark edge. Wide range, fairly dirty mix. Very strong and sturdy crash cymbal that can be usedin many settings of today's metal music. Occassional crash/riding patterns are also possible with this type of cymbal.
paiste;CY0000882918;Alpha;Metal Crash;crash;18;Very powerful, metallic, icy shimmery with a trashy, dark edge. Wide range, fairly dirty mix. Very strong and sturdy crash cymbal that can be usedin many settings of today's metal music. Occassional crash/riding patterns are also possible with this type of cymbal.
paiste;CY0000882920;Alpha;Metal Crash;crash;20;Very powerful, metallic, icy shimmery with a trashy, dark edge. Wide range, fairly dirty mix. Very strong and sturdy crash cymbal that can be usedin many settings of today's metal music. Occassional crash/riding patterns are also possible with this type of cymbal.
paiste;CY0000883714;Alpha;Medium Hats;hi hat;14;Smooth, crisp, full with a silky deep touch. Fairly wide range, clean mix. Fairly bright and round open sound with a tight and soft chick sound . Veryversatile hi-hat for multi-purpose use in moderate music styles.
paiste;CY0000883114;Alpha;Sound Edge Hi-Hat;hi hat;14;Bright, warm, edgy, cutting, glassy. Fairly wide range, complex mix. Responsive, fairly soft and giving feel. Full, energetic, roaring open sound withthe classic sound edge attributes. Very popular hi-hat type for precise playing in many musical styles, mostly rock genres.
paiste;CY0000883414;Alpha;Rock Hats;hi hat;14;Fairly bright with a dark touch, full, warm and clear. Wide range, very clear mix. Heavy, giving feel. Explosive, clear and open sound with a meatyand cutting chick. Very forceful, rich hi-hat for wide application in many musical genres.
paiste;CY0000884014;Alpha;Metal Edge Hats;hi hat;14;Bright, metallic, cutting, roaring, silvery. Wide range, fairly clean mix. Strong feel and extremely quick response. Loud attacking open sound pairedwith a super-strong and powerful piercing chick-sound. Cuts through any aggressive music in today's metal styles.
paiste;CY0000882616;Alpha;china;china;16;Bright, cutting, full, with a warm undertone. Medium range, complex mix. Explosive, shattering attack with a hissing decay. A strong china cymbaluseful in many musical applications.
paiste;CY0000882518;Alpha;Rock China;china;18;Bright, full, aggressive with a trashy edge. Medium range, fairly clear mix. Very loud and aggressive attack and explosive shatter. Very strong andpowerful china cymbal for all musical applications in louder playing styles.
paiste;CY0000882208;Alpha;Thin Splash;splash;8;Bright, silvery, short, full. Medium range, fairly clean mix. Fast attack followed by a quickly fading and sizzling decay. Very responsive feel. A verydynamic, universal splash cymbal for multi-purposeapplication in most styles.
paiste;CY0000882210;Alpha;Thin Splash;splash;10;Bright, silvery, short, full. Medium range, fairly clean mix. Fast attack followed by a quickly fading and sizzling decay. Very responsive feel. A verydynamic, universal splash cymbal for multi-purposeapplication in most styles.
paiste;CY0000882410;Alpha;Metal Splash;splash;10;Raw, aggressive with a fairly dark touch. Medium range, complex mix. Explosive, wild smashing mid-range attack, with a roaring and rebeliousdecay. Perfectly suited for complexly layered and louder, aggressive music styles.
paiste;CY0000882412;Alpha;Metal Splash;splash;12;Raw, aggressive with a fairly dark touch. Medium range, complex mix. Explosive, wild smashing mid-range attack, with a roaring and rebeliousdecay. Perfectly suited for complexly layered and louder, aggressive music styles.
paiste;CY0001901620;900 Series;Ride;ride;20;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.
paiste;CY0001901622;900 Series;Ride;ride;22;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.
paiste;CY0001902720;900 Series;Heavy Ride;ride;20;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.
paiste;CY0001902722;900 Series;Heavy Ride;ride;22;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.
paiste;CY0001902724;900 Series;Mega Ride;ride;24;Vivid, massive, deep. Wide range, clean mix. Heavy feel. Very strong, bright ping over a big, deep wash. Piercing, energetic bell. Loud ride withcutting power for high volume settings.
paiste;CY0001901416;900 Series;Crash;crash;16;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.
paiste;CY0001901417;900 Series;Crash;crash;17;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.
paiste;CY0001901418;900 Series;Crash;crash;18;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.
paiste;CY0001901419;900 Series;Crash;crash;19;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.
paiste;CY0001901420;900 Series;Crash;crash;20;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.
paiste;CY0001902816;900 Series;Heavy Crash;crash;16;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.
paiste;CY0001902817;900 Series;Heavy Crash;crash;17;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.
paiste;CY0001902818;900 Series;Heavy Crash;crash;18;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.
paiste;CY0001902819;900 Series;Heavy Crash;crash;19;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.
paiste;CY0001902820;900 Series;Heavy Crash;crash;20;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.
paiste;CY0001903114;900 Series;Sound Edge Hi-Hat;hi hat;14;Bright, crisp, sharp. Wide range, clean mix. Very responsive feel. Crisp stick sound, energetic open sound. Bright, defined chick. Cutting hi-hats forprecise playing in wide-ranging styles.
paiste;CY0001903414;900 Series;Heavy Hi-Hat;hi hat;14;Brilliant, fat, powerful. Wide range, clean mix. Fairly heavy feel. Strong stick sound. Energetic, bright open sound. Defined, solid chick. Versatilehi-hats for energetic playing.
paiste;CY0001903415;900 Series;Heavy Hi-Hat;hi hat;15;Brilliant, fat, powerful. Wide range, clean mix. Fairly heavy feel. Strong stick sound. Energetic, bright open sound. Defined, solid chick. Versatilehi-hats for energetic playing.
paiste;CY0001903714;900 Series;hi hat;hi hat;14;Medium bright, warm, clear. Fairly wide range, clean mix. Balanced, responsive feel. Compact stick sound. Full-bodied open sound. Warm,defined chick. Articulate, controllable hi-hats for a wide range of musical situations.
paiste;CY0001902614;900 Series;china;china;14;Fairly dark, energetic. Medium wide range, complex mix. Explosive, shattering crash. Exotic stick sound over a complex, trashy wash. Assertivechina for exotic effects.
paiste;CY0001902616;900 Series;china;china;16;Fairly dark, energetic. Medium wide range, complex mix. Explosive, shattering crash. Exotic stick sound over a complex, trashy wash. Assertivechina for exotic effects.
paiste;CY0001902618;900 Series;china;china;18;Fairly dark, energetic. Medium wide range, complex mix. Explosive, shattering crash. Exotic stick sound over a complex, trashy wash. Assertivechina for exotic effects.
paiste;CY0001902210;900 Series;Splash;splash;10;Medium bright, short, full. Fairly wide range, clean mix. Responsive, explosive feel with quick decay. Well rounded, fast Splash for short accents invarious music styles.
paiste;CY0001902212;900 Series;Splash;splash;12;Medium bright, short, full. Fairly wide range, clean mix. Responsive, explosive feel with quick decay. Well rounded, fast Splash for short accents invarious music styles.
paiste;CY0001911620;Color Sound 900;Black Ride;ride;20;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001911622;Color Sound 900;Black Ride;ride;22;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001912720;Color Sound 900;Black Heavy Ride;ride;20;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001912722;Color Sound 900;Black Heavy Ride;ride;22;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001912724;Color Sound 900;Black Mega Ride;ride;24;Vivid, massive, deep. Wide range, clean mix. Heavy feel. Very strong, bright ping over a big, deep wash. Piercing, energetic bell. Loud ride withcutting power for high volume settings.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001931620;Color Sound 900;Blue Ride;ride;20;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001931622;Color Sound 900;Blue Ride;ride;22;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001932720;Color Sound 900;Blue Heavy Ride;ride;20;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001932722;Color Sound 900;Blue Heavy Ride;ride;22;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001932724;Color Sound 900;Blue Mega Ride;ride;24;Vivid, massive, deep. Wide range, clean mix. Heavy feel. Very strong, bright ping over a big, deep wash. Piercing, energetic bell. Loud ride withcutting power for high volume settings.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001921620;Color Sound 900;Red Ride;ride;20;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001921622;Color Sound 900;Red Ride;ride;22;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001922720;Color Sound 900;Red Heavy Ride;ride;20;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001922722;Color Sound 900;Red Heavy Ride;ride;22;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001922724;Color Sound 900;Red Mega Ride;ride;24;Vivid, massive, deep. Wide range, clean mix. Heavy feel. Very strong, bright ping over a big, deep wash. Piercing, energetic bell. Loud ride withcutting power for high volume settings.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001941620;Color Sound 900;Purple Ride;ride;20;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001941622;Color Sound 900;Purple Ride;ride;22;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Even, balanced feel. Clear ping over an even, warm wash. Pronouncedbell. Multi-purpose ride for a wide range of musical styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001942720;Color Sound 900;Purple Heavy Ride;ride;20;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001942722;Color Sound 900;Purple Heavy Ride;ride;22;Brilliant, sharp, powerful. Wide range, clean mix. Heavy feel. Bright, pronounced ping over a controlled, warm wash. Massive bell. Powerful,cutting ride for loud playing.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001942724;Color Sound 900;Purple Mega Ride;ride;24;Vivid, massive, deep. Wide range, clean mix. Heavy feel. Very strong, bright ping over a big, deep wash. Piercing, energetic bell. Loud ride withcutting power for high volume settings.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001911416;Color Sound 900;Black Crash;crash;16;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001911417;Color Sound 900;Black Crash;crash;17;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001911418;Color Sound 900;Black Crash;crash;18;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001911419;Color Sound 900;Black Crash;crash;19;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001911420;Color Sound 900;Black Crash;crash;20;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001912816;Color Sound 900;Black Heavy Crash;crash;16;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
