id,brand,code,series,model,kind,size,description,created_at,updated_at
62,istanbul,fr,traditional,flat ride,flat ride,22,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
63,istanbul,cr,traditional,crash ride,crash ride,18,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
64,istanbul,cr,traditional,crash ride,crash ride,19,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
65,istanbul,cr,traditional,crash ride,crash ride,20,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
66,istanbul,cr,traditional,crash ride,crash ride,22,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
67,istanbul,ptc,traditional,paper thin crash,crash,16,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
68,istanbul,ptc,traditional,paper thin crash,crash,17,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
69,istanbul,ptc,traditional,paper thin crash,crash,18,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
70,istanbul,thc,traditional,thin crash,crash,14,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
71,istanbul,thc,traditional,thin crash,crash,15,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
72,istanbul,thc,traditional,thin crash,crash,16,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
73,istanbul,thc,traditional,thin crash,crash,17,\N,2017-10-08 09:12:11,2017-10-08 09:12:11
74,istanbul,thc,traditional,thin crash,crash,18,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
75,istanbul,thc,traditional,thin crash,crash,19,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
76,istanbul,thc,traditional,thin crash,crash,20,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
77,istanbul,mc,traditional,medium crash,crash,14,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
78,istanbul,mc,traditional,medium crash,crash,15,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
79,istanbul,mc,traditional,medium crash,crash,16,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
80,istanbul,mc,traditional,medium crash,crash,17,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
81,istanbul,mc,traditional,medium crash,crash,18,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
82,istanbul,mc,traditional,medium crash,crash,19,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
83,istanbul,mc,traditional,medium crash,crash,20,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
84,istanbul,mc,traditional,medium crash,crash,22,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
85,istanbul,hvc,traditional,heavy crash,crash,16,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
86,istanbul,hvc,traditional,heavy crash,crash,17,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
87,istanbul,hvc,traditional,heavy crash,crash,18,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
88,istanbul,hvc,traditional,heavy crash,crash,19,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
89,istanbul,hvc,traditional,heavy crash,crash,20,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
90,istanbul,dc,traditional,dark crash,crash,14,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
91,istanbul,dc,traditional,dark crash,crash,16,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
92,istanbul,dc,traditional,dark crash,crash,17,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
93,istanbul,dc,traditional,dark crash,crash,18,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
94,istanbul,dc,traditional,dark crash,crash,19,\N,2017-10-08 09:12:12,2017-10-08 09:12:12
95,istanbul,dc,traditional,dark crash,crash,20,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
96,istanbul,dc,traditional,dark crash,crash,22,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
97,istanbul,dc,traditional,dark crash,crash,24,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
98,istanbul,mnh,traditional,mini hi-hat,hi hat,10,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
99,istanbul,mnh,traditional,mini hi-hat,hi hat,12,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
100,istanbul,lh,traditional,light hi-hat,hi hat,14,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
101,istanbul,lh,traditional,light hi-hat,hi hat,15,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
102,istanbul,lh,traditional,light hi-hat,hi hat,16,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
103,istanbul,mh,traditional,medium hi-hat,hi hat,13,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
104,istanbul,mh,traditional,medium hi-hat,hi hat,14,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
105,istanbul,mh,traditional,medium hi-hat,hi hat,15,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
106,istanbul,hvh,traditional,heavy hi-hat,hi hat,13,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
107,istanbul,hvh,traditional,heavy hi-hat,hi hat,14,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
108,istanbul,hvh,traditional,heavy hi-hat,hi hat,15,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
109,istanbul,sp,traditional,splash,splash,6,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
110,istanbul,sp,traditional,splash,splash,8,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
111,istanbul,sp,traditional,splash,splash,9,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
112,istanbul,sp,traditional,splash,splash,10,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
113,istanbul,sp,traditional,splash,splash,12,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
114,istanbul,bl,traditional,bell,bell,6,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
115,istanbul,bl,traditional,bell,bell,8,\N,2017-10-08 09:12:13,2017-10-08 09:12:13
116,istanbul,bl,traditional,bell,bell,10,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
117,istanbul,mch,traditional,mini china,china,8,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
118,istanbul,mch,traditional,mini china,china,10,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
119,istanbul,mch,traditional,mini china,china,12,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
120,istanbul,ch,traditional,china,china,14,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
121,istanbul,ch,traditional,china,china,16,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
